rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,bin_conf
[4.   0.59 2.24],8124,4730,715,2679,4,2,1,1,11,11,13,3
[4.   0.59 4.  ],10335,4835,711,4789,6,3,1,2,16,16,22,3
[4.   2.24 0.59],8121,4688,2713,720,4,2,1,1,11,10,14,2
[4.   2.24 2.24],10048,4702,2674,2672,4,2,1,1,11,11,13,3
[4.   2.24 4.  ],12323,4806,2784,4733,7,3,1,3,18,16,20,2
[4.   4.   0.59],10316,4822,4811,683,6,4,1,1,17,13,17,2
[4.   4.   2.24],12290,4880,4740,2670,4,2,1,1,11,11,14,3
[4 4 4],14318,4766,4694,4858,6,2,2,2,16,16,27,3
[0.59 0.59 0.59],2042,681,685,676,3,1,1,1,8,6,6,0
[0.59 0.59 2.24],4075,702,702,2671,3,1,1,1,8,7,7,2
[0.59 0.59 4.  ],6273,690,704,4879,4,1,1,2,10,9,10,2
[0.59 2.24 0.59],4187,725,2741,721,3,1,1,1,8,7,7,2
[0.59 2.24 2.24],5948,710,2599,2639,3,1,1,1,8,7,7,2
[0.59 2.24 4.  ],8267,757,2668,4842,3,1,0,2,7,7,10,1
[0.59 4.   0.59],6156,718,4769,669,3,1,1,1,8,7,10,2
[0.59 4.   2.24],8117,715,4704,2698,2,1,1,0,6,6,6,1
[0.59 4.   4.  ],10219,691,4795,4733,4,1,1,2,10,9,12,1
[2.24 0.59 0.59],4144,2714,712,718,3,1,1,1,8,7,7,1
[2.24 0.59 2.24],6075,2731,677,2667,3,1,1,1,8,8,8,3
[2.24 0.59 4.  ],8435,2820,722,4893,5,2,1,2,13,13,17,3
[2.24 2.24 0.59],6249,2768,2732,749,3,1,1,1,8,8,9,3
[2.24 2.24 2.24],8086,2634,2732,2720,5,2,1,2,13,11,13,2
[2.24 2.24 4.  ],10153,2753,2659,4741,4,1,1,2,10,10,12,3
[2.24 4.   0.59],8102,2677,4745,680,6,3,1,2,16,12,13,0
[2.24 4.   2.24],10104,2663,4771,2670,4,1,2,1,11,9,14,0
[2.24 4.   4.  ],12398,2734,4826,4838,5,1,2,2,13,13,21,3
[4.   0.59 0.59],6267,4807,757,703,3,1,1,1,8,7,9,2
[4.   0.59 2.24],8227,4865,698,2664,4,2,1,1,11,9,14,2
[4.   0.59 4.  ],10286,4802,736,4748,8,4,1,3,21,17,23,2
[4.   2.24 0.59],8100,4693,2701,706,4,2,1,1,11,11,13,3
[4.   2.24 2.24],10191,4857,2665,2669,5,3,1,1,14,10,14,0
[4.   2.24 4.  ],12323,4853,2686,4784,6,3,1,2,16,16,21,3
[4.   4.   0.59],10020,4727,4600,693,4,1,1,2,10,8,12,0
[4.   4.   2.24],12240,4800,4804,2636,5,2,1,2,13,13,18,3
[4 4 4],14381,4843,4907,4631,6,3,1,2,16,14,22,2
[0.59 0.59 0.59],2132,683,700,749,3,1,1,1,8,6,6,0
[0.59 0.59 2.24],4115,689,737,2689,3,1,1,1,8,6,7,0
[0.59 0.59 4.  ],6197,721,691,4785,4,1,1,2,10,9,10,2
[0.59 2.24 0.59],4151,734,2683,734,3,1,1,1,8,7,7,2
[0.59 2.24 2.24],6186,670,2780,2736,3,1,1,1,8,7,7,2
[0.59 2.24 4.  ],8114,698,2676,4740,4,1,1,2,10,9,10,2
[0.59 4.   0.59],6174,692,4774,708,3,1,1,1,8,8,13,3
[0.59 4.   2.24],8127,708,4829,2590,3,1,1,1,8,7,8,2
[0.59 4.   4.  ],10414,682,4850,4882,4,1,1,2,10,9,11,2
[2.24 0.59 0.59],4129,2687,728,714,2,1,0,1,5,5,5,1
[2.24 0.59 2.24],6104,2729,710,2665,3,1,1,1,8,8,8,3
[2.24 0.59 4.  ],8187,2692,722,4773,4,1,1,2,10,10,11,3
[2.24 2.24 0.59],6011,2655,2680,676,3,1,1,1,8,8,8,3
[2.24 2.24 2.24],7983,2664,2721,2598,5,3,1,1,14,11,12,2
[2.24 2.24 4.  ],10136,2606,2778,4752,5,2,1,2,13,11,13,2
[2.24 4.   0.59],7889,2588,4598,703,5,3,1,1,14,10,12,0
[2.24 4.   2.24],10199,2668,4850,2681,4,2,1,1,11,11,15,3
[2.24 4.   4.  ],12478,2744,4818,4916,6,1,2,3,15,15,24,3
[4.   0.59 0.59],6160,4770,708,682,4,2,1,1,11,9,13,0
[4.   0.59 2.24],8150,4752,715,2683,4,2,1,1,11,11,14,3
[4.   0.59 4.  ],10432,4911,711,4810,6,2,1,3,15,15,19,3
[4.   2.24 0.59],8186,4825,2643,718,5,3,1,1,14,10,11,0
[4.   2.24 2.24],10102,4721,2698,2683,4,2,1,1,11,11,13,3
[4.   2.24 4.  ],12407,4839,2755,4813,6,2,1,3,15,14,20,2
[4.   4.   0.59],10402,4776,4887,739,4,2,1,1,11,11,19,3
[4.   4.   2.24],12438,4917,4844,2677,4,2,1,1,11,11,14,3
[4 4 4],14341,4807,4820,4714,7,3,1,3,18,18,24,3
[0.59 0.59 0.59],2143,727,725,691,2,1,0,1,5,5,5,2
[0.59 0.59 2.24],4237,756,754,2727,4,1,1,2,10,9,10,2
[0.59 0.59 4.  ],6259,761,674,4824,5,1,1,3,12,11,13,2
[0.59 0.59 6.79],9567,688,692,8187,6,1,1,4,14,13,17,2
[0.59 0.59 7.11],9938,726,706,8506,6,1,1,4,14,13,16,2
[0.59 0.59 8.09],11189,679,736,9774,7,1,1,5,16,15,19,2
[0.59 0.59 8.92],12236,738,731,10767,7,1,1,5,16,15,19,2
[0.59 2.24 0.59],4146,714,2756,676,3,1,1,1,8,6,6,0
[0.59 2.24 2.24],6273,728,2826,2719,3,1,1,1,8,7,9,1
[0.59 2.24 4.  ],8241,723,2685,4833,5,1,1,3,12,11,13,2
[0.59 2.24 6.79],11608,709,2706,8193,5,1,1,3,12,11,14,2
[0.59 2.24 7.11],12072,730,2719,8623,6,1,1,4,14,13,16,2
[0.59 2.24 8.09],13057,698,2657,9702,7,1,1,5,16,15,19,2
[0.59 2.24 8.92],14157,780,2720,10657,7,1,1,5,16,15,19,2
[0.59 4.   0.59],6298,722,4812,764,3,1,1,1,8,8,11,1
[0.59 4.   2.24],8123,695,4876,2552,3,1,1,1,8,7,8,1
[0.59 4.   4.  ],10127,711,4722,4694,4,1,1,2,10,9,12,2
[0.59 4.   6.79],13619,737,4720,8162,5,1,1,3,12,11,13,2
[0.59 4.   7.11],13807,691,4836,8280,7,1,2,4,17,15,26,2
[0.59 4.   8.09],15416,744,4793,9879,7,1,1,5,16,15,25,2
[0.59 4.   8.92],16320,717,4789,10814,10,2,2,6,24,21,33,2
[0.59 6.79 0.59],9714,733,8265,716,4,1,2,1,11,11,20,3
[0.59 6.79 2.24],11622,675,8330,2617,5,2,2,1,14,9,17,0
[0.59 6.79 4.  ],13671,700,8205,4766,6,2,2,2,16,13,21,2
[0.59 6.79 6.79],17072,754,8101,8217,8,2,2,4,20,17,27,2
[0.59 6.79 7.11],17144,742,8020,8382,8,2,2,4,20,17,27,2
[0.59 6.79 8.09],18519,669,8095,9755,7,1,1,5,16,16,26,3
[0.59 6.79 8.92],19413,673,8108,10632,8,1,2,5,19,19,30,3
[0.59 7.11 0.59],9929,681,8530,718,5,2,2,1,14,11,18,2
[0.59 7.11 2.24],11951,691,8522,2738,5,1,2,2,13,12,17,1
[0.59 7.11 4.  ],13983,698,8553,4732,6,2,2,2,16,13,22,2
[0.59 7.11 6.79],17451,776,8484,8191,7,1,3,3,18,16,31,1
[0.59 7.11 7.11],17799,737,8553,8509,8,1,2,5,19,17,29,2
[0.59 7.11 8.09],18960,693,8569,9698,7,1,2,4,17,17,31,3
[0.59 7.11 8.92],20041,690,8633,10718,8,1,2,5,19,19,30,3
[0.59 8.09 0.59],11012,702,9561,749,4,1,2,1,11,11,20,3
[0.59 8.09 2.24],13091,682,9729,2680,5,2,2,1,14,11,18,2
[0.59 8.09 4.  ],15206,666,9718,4822,7,1,3,3,18,15,30,2
[0.59 8.09 6.79],18650,721,9754,8175,6,1,2,3,15,15,26,3
[0.59 8.09 7.11],19118,718,9676,8724,8,1,2,5,19,19,34,3
[0.59 8.09 8.09],20054,709,9583,9762,7,1,2,4,17,17,31,3
[0.59 8.09 8.92],20975,704,9571,10700,8,1,2,5,19,19,34,3
[0.59 8.92 0.59],12019,673,10653,693,4,1,2,1,11,9,17,2
[0.59 8.92 2.24],13949,697,10581,2671,5,1,3,1,14,12,19,1
[0.59 8.92 4.  ],16347,711,10760,4876,9,1,5,3,24,21,32,1
[0.59 8.92 6.79],19413,690,10573,8150,7,1,2,4,17,17,30,3
[0.59 8.92 7.11],19863,724,10561,8578,7,1,3,3,18,15,28,1
[0.59 8.92 8.09],21182,703,10806,9673,9,2,3,4,23,19,37,2
[0.59 8.92 8.92],21780,634,10592,10554,8,1,2,5,19,19,35,3
[2.24 0.59 0.59],4054,2654,676,724,4,1,2,1,11,7,7,0
[2.24 0.59 2.24],6031,2703,683,2645,3,1,1,1,8,8,8,3
[2.24 0.59 4.  ],8311,2677,708,4926,5,1,1,3,12,12,14,3
[2.24 0.59 6.79],11732,2725,724,8283,6,1,1,4,14,14,17,3
[2.24 0.59 7.11],11920,2708,710,8502,7,1,1,5,16,16,20,3
[2.24 0.59 8.09],13066,2674,699,9693,6,1,1,4,14,14,18,3
[2.24 0.59 8.92],14103,2649,701,10753,8,2,1,5,19,17,23,2
[2.24 2.24 0.59],5958,2612,2685,661,3,1,1,1,8,7,9,2
[2.24 2.24 2.24],8186,2724,2740,2722,4,1,1,2,10,10,11,3
[2.24 2.24 4.  ],10058,2667,2594,4797,5,2,1,2,13,11,15,2
[2.24 2.24 6.79],13412,2656,2592,8164,7,2,1,4,17,15,21,2
[2.24 2.24 7.11],14057,2790,2682,8585,6,1,1,4,14,14,18,3
[2.24 2.24 8.09],14953,2697,2686,9570,7,1,1,5,16,15,19,2
[2.24 2.24 8.92],16147,2822,2727,10598,8,2,1,5,19,17,24,2
[2.24 4.   0.59],8294,2745,4828,721,3,1,1,1,8,8,8,3
[2.24 4.   2.24],10326,2701,4958,2667,3,1,1,1,8,8,10,3
[2.24 4.   4.  ],12250,2732,4682,4836,5,1,1,3,12,12,18,3
[2.24 4.   6.79],15722,2733,4791,8198,5,1,1,3,12,12,21,3
[2.24 4.   7.11],16061,2780,4807,8474,6,1,1,4,14,14,18,3
[2.24 4.   8.09],17294,2781,4829,9684,6,1,1,4,14,13,18,2
[2.24 4.   8.92],18046,2664,4756,10626,8,1,1,6,18,18,25,3
[2.24 6.79 0.59],11578,2699,8150,729,4,1,2,1,11,11,19,3
[2.24 6.79 2.24],13616,2732,8153,2731,5,1,2,2,13,13,22,3
[2.24 6.79 4.  ],15835,2748,8225,4862,5,1,2,2,13,13,22,3
[2.24 6.79 6.79],19115,2700,8108,8307,8,1,2,5,19,19,30,3
[2.24 6.79 7.11],19346,2711,8031,8604,8,1,2,5,19,19,30,3
[2.24 6.79 8.09],20759,2696,8253,9810,9,1,2,6,21,21,34,3
[2.24 6.79 8.92],21384,2632,8014,10738,9,2,2,5,22,22,35,3
[2.24 7.11 0.59],11990,2669,8609,712,5,2,2,1,14,12,20,2
[2.24 7.11 2.24],14019,2630,8661,2728,7,2,4,1,20,18,25,1
[2.24 7.11 4.  ],16155,2697,8523,4935,6,1,2,3,15,15,24,3
[2.24 7.11 6.79],19197,2662,8526,8009,8,2,2,4,20,20,32,3
[2.24 7.11 7.11],19857,2708,8599,8550,7,1,2,4,17,17,33,3
[2.24 7.11 8.09],20816,2674,8471,9671,7,1,2,4,17,15,29,1
[2.24 7.11 8.92],21948,2766,8413,10769,8,1,2,5,19,19,31,3
[2.24 8.09 0.59],13105,2634,9740,731,6,2,2,2,16,15,24,1
[2.24 8.09 2.24],15206,2648,9774,2784,5,2,2,1,14,14,26,3
[2.24 8.09 4.  ],16856,2646,9450,4760,6,2,2,2,16,13,25,2
[2.24 8.09 6.79],20511,2709,9652,8150,7,1,2,4,17,17,28,3
[2.24 8.09 7.11],20556,2614,9637,8305,11,2,5,4,29,19,40,0
[2.24 8.09 8.09],22236,2739,9865,9632,8,1,2,5,19,19,32,3
[2.24 8.09 8.92],23096,2629,9810,10657,11,3,3,5,28,23,43,2
[2.24 8.92 0.59],13938,2705,10497,736,5,1,2,2,13,12,20,1
[2.24 8.92 2.24],16064,2775,10688,2601,5,1,2,2,13,13,27,3
[2.24 8.92 4.  ],18225,2684,10680,4861,5,1,2,2,13,13,25,3
[2.24 8.92 6.79],21539,2623,10759,8157,9,2,3,4,23,23,44,3
[2.24 8.92 7.11],21839,2707,10592,8540,8,1,2,5,19,19,35,3
[2.24 8.92 8.09],23253,2673,10818,9762,9,1,3,5,22,22,40,3
[2.24 8.92 8.92],24113,2618,10732,10763,10,2,3,5,25,22,44,2
[4.   0.59 0.59],6224,4803,715,706,5,3,1,1,14,13,17,1
[4.   0.59 2.24],8362,4920,713,2729,5,2,1,2,13,13,16,3
[4.   0.59 4.  ],10436,4840,718,4878,6,3,1,2,16,16,21,3
[4.   0.59 6.79],13609,4830,733,8046,8,3,1,4,20,19,26,2
[4.   0.59 7.11],14014,4697,719,8598,7,2,1,4,17,17,23,3
[4.   0.59 8.09],15160,4771,716,9673,7,2,1,4,17,16,23,2
[4.   0.59 8.92],16290,4866,684,10740,9,2,1,6,21,20,27,2
[4.   2.24 0.59],8257,4822,2713,722,5,3,1,1,14,12,16,2
[4.   2.24 2.24],10017,4755,2640,2622,4,2,1,1,11,11,14,3
[4.   2.24 4.  ],12547,4927,2727,4893,5,2,1,2,13,13,17,3
[4.   2.24 6.79],15584,4715,2668,8201,8,2,1,5,19,19,25,3
[4.   2.24 7.11],16007,4735,2699,8573,7,2,1,4,17,17,22,3
[4.   2.24 8.09],17230,4775,2719,9736,8,2,1,5,19,18,26,2
[4.   2.24 8.92],18147,4787,2686,10674,9,3,1,5,22,19,26,2
[4.   4.   0.59],10405,4867,4840,698,5,3,1,1,14,13,17,1
[4.   4.   2.24],12189,4764,4764,2661,4,2,1,1,11,11,17,3
[4 4 4],14491,4794,4910,4787,6,3,1,2,16,13,25,2
[4.   4.   6.79],17844,4666,4855,8323,7,2,1,4,17,17,24,3
[4.   4.   7.11],18058,4730,4800,8528,8,3,1,4,20,17,25,2
[4.   4.   8.09],19333,4691,4820,9822,9,3,1,5,22,20,28,2
[4.   4.   8.92],20482,4783,4919,10780,10,3,2,5,25,22,36,2
[4.   6.79 0.59],13698,4793,8202,703,6,3,2,1,17,14,24,2
[4.   6.79 2.24],15771,4823,8302,2646,7,4,2,1,20,16,27,2
[4.   6.79 4.  ],17749,4745,8175,4829,7,2,2,3,18,18,32,3
[4.   6.79 6.79],21230,4820,8114,8296,9,3,2,4,23,18,38,0
[4.   6.79 7.11],21514,4810,8218,8486,9,3,2,4,23,23,37,3
[4.   6.79 8.09],22624,4663,8250,9711,11,3,2,6,27,27,44,3
[4.   6.79 8.92],23666,4753,8104,10809,13,5,2,6,33,28,44,2
[4.   7.11 0.59],14237,4816,8707,714,6,3,1,2,16,16,25,1
[4.   7.11 2.24],16209,4894,8589,2726,7,3,2,2,19,19,36,3
[4.   7.11 4.  ],17996,4792,8457,4747,6,2,2,2,16,16,29,3
[4.   7.11 6.79],21530,4764,8430,8336,8,2,2,4,20,20,33,3
[4.   7.11 7.11],21841,4676,8567,8598,8,2,2,4,20,18,35,2
[4.   7.11 8.09],23175,4852,8568,9755,10,3,2,5,25,25,43,3
[4.   7.11 8.92],24056,4836,8580,10640,10,4,1,5,25,22,34,2
[4.   8.09 0.59],15197,4716,9762,719,5,2,2,1,14,14,25,3
[4.   8.09 2.24],17275,4778,9837,2660,5,2,2,1,14,14,24,3
[4.   8.09 4.  ],19068,4700,9628,4740,8,2,3,3,21,21,39,3
[4.   8.09 6.79],22540,4642,9664,8234,9,3,2,4,23,20,38,2
[4.   8.09 7.11],22966,4834,9760,8372,9,3,2,4,23,23,39,3
[4.   8.09 8.09],24252,4833,9859,9560,10,3,2,5,25,25,42,3
[4.   8.09 8.92],25135,4736,9648,10751,9,2,2,5,22,22,36,3
[4.   8.92 0.59],16292,4887,10697,708,7,2,3,2,19,16,27,1
[4.   8.92 2.24],18242,4740,10802,2700,6,2,3,1,17,17,34,3
[4.   8.92 4.  ],20398,4835,10791,4772,9,3,3,3,24,22,34,1
[4.   8.92 6.79],23529,4796,10692,8041,9,2,4,3,24,18,37,0
[4.   8.92 7.11],24079,4835,10742,8502,10,3,3,4,26,26,48,3
[4.   8.92 8.09],25316,4795,10765,9756,10,3,2,5,25,22,45,2
[4.   8.92 8.92],26363,4838,10773,10752,10,3,2,5,25,25,43,3
[6.79 0.59 0.59],9467,8054,721,692,6,4,1,1,17,16,22,1
[6.79 0.59 2.24],11687,8265,695,2727,7,4,1,2,19,16,26,2
[6.79 0.59 4.  ],13641,8118,729,4794,7,4,1,2,19,16,27,2
[6.79 0.59 6.79],17158,8108,750,8300,7,3,1,3,18,16,25,2
[6.79 0.59 7.11],17349,8169,725,8455,9,4,1,4,23,23,33,3
[6.79 0.59 8.09],18437,8122,717,9598,10,4,1,5,25,25,36,3
[6.79 0.59 8.92],19625,8246,695,10684,10,4,1,5,25,25,35,3
[6.79 2.24 0.59],11720,8368,2678,674,6,4,1,1,17,17,24,3
[6.79 2.24 2.24],13554,8178,2714,2662,6,4,1,1,17,17,24,3
[6.79 2.24 4.  ],15781,8119,2786,4876,7,4,1,2,19,19,26,3
[6.79 2.24 6.79],18956,8258,2636,8062,9,4,1,4,23,23,32,3
[6.79 2.24 7.11],19413,8247,2660,8506,10,4,1,5,25,25,35,3
[6.79 2.24 8.09],20530,8144,2669,9717,10,4,1,5,25,25,35,3
[6.79 2.24 8.92],21603,8177,2629,10797,10,4,1,5,25,25,37,3
[6.79 4.   0.59],13760,8352,4694,714,7,5,1,1,20,17,30,2
[6.79 4.   2.24],15747,8209,4874,2664,7,5,1,1,20,19,27,1
[6.79 4.   4.  ],17667,8015,4817,4835,10,5,2,3,27,25,43,1
[6.79 4.   6.79],21063,8006,4931,8126,10,5,1,4,26,26,37,3
[6.79 4.   7.11],21649,8165,4809,8675,9,4,1,4,23,21,38,2
[6.79 4.   8.09],22623,8138,4821,9664,9,3,1,5,22,21,34,2
[6.79 4.   8.92],23825,8198,4856,10771,11,5,1,5,28,24,38,2
[6.79 6.79 0.59],17224,8256,8225,743,7,4,2,1,20,20,33,3
[6.79 6.79 2.24],18986,8202,8094,2690,7,4,2,1,20,20,40,3
[6.79 6.79 4.  ],21288,8185,8130,4973,8,3,2,3,21,21,35,3
[6.79 6.79 6.79],24559,8265,8052,8242,10,4,2,4,26,26,43,3
[6.79 6.79 7.11],24793,7985,8242,8566,10,4,2,4,26,26,44,3
[6.79 6.79 8.09],26088,8115,8279,9694,12,4,3,5,31,28,49,1
[6.79 6.79 8.92],27017,8080,8241,10696,11,4,2,5,28,28,47,3
[6.79 7.11 0.59],17153,7964,8505,684,7,5,1,1,20,18,24,0
[6.79 7.11 2.24],19425,8118,8690,2617,10,4,4,2,28,26,39,1
[6.79 7.11 4.  ],21284,8194,8407,4683,9,4,3,2,25,25,47,3
[6.79 7.11 6.79],24991,8349,8552,8090,10,4,2,4,26,26,45,3
[6.79 7.11 7.11],25053,8202,8419,8432,12,5,3,4,32,32,57,3
[6.79 7.11 8.09],26389,8167,8618,9604,12,4,2,6,30,30,49,3
[6.79 7.11 8.92],27699,8279,8616,10804,13,5,2,6,33,29,51,2
[6.79 8.09 0.59],18574,8209,9686,679,8,4,2,2,22,21,37,1
[6.79 8.09 2.24],20514,8197,9615,2702,9,4,2,3,24,22,42,1
[6.79 8.09 4.  ],22473,8102,9669,4702,9,4,2,3,24,24,42,3
[6.79 8.09 6.79],25978,8193,9688,8097,9,4,2,3,24,24,46,3
[6.79 8.09 7.11],26338,8248,9571,8519,11,4,2,5,28,28,48,3
[6.79 8.09 8.09],27560,8200,9688,9672,10,3,2,5,25,25,47,3
[6.79 8.09 8.92],28611,7990,9921,10700,11,4,2,5,28,28,47,3
[6.79 8.92 0.59],19514,8115,10659,740,7,4,2,1,20,20,35,3
[6.79 8.92 2.24],21532,8270,10565,2697,11,4,4,3,30,27,42,1
[6.79 8.92 4.  ],24011,8287,10838,4886,10,6,2,2,28,24,45,2
[6.79 8.92 6.79],26759,8119,10716,7924,11,4,3,4,29,29,52,3
[6.79 8.92 7.11],27334,8130,10608,8596,10,4,2,4,26,22,47,2
[6.79 8.92 8.09],28612,8110,10609,9893,12,4,3,5,31,31,56,3
[6.79 8.92 8.92],29474,8121,10608,10745,13,4,4,5,34,30,55,1
[7.11 0.59 0.59],9870,8455,697,718,6,4,1,1,17,14,21,0
[7.11 0.59 2.24],11742,8287,712,2743,6,4,1,1,17,17,23,3
[7.11 0.59 4.  ],14064,8558,727,4779,7,4,1,2,19,19,27,3
[7.11 0.59 6.79],17346,8345,668,8333,9,4,1,4,23,23,32,3
[7.11 0.59 7.11],17863,8642,669,8552,10,5,1,4,26,26,37,3
[7.11 0.59 8.09],19118,8654,736,9728,11,5,1,5,28,28,40,3
[7.11 0.59 8.92],19960,8406,737,10817,11,4,1,6,27,25,36,2
[7.11 2.24 0.59],11971,8577,2706,688,6,4,1,1,17,16,23,1
[7.11 2.24 2.24],13897,8515,2701,2681,7,5,1,1,20,17,23,2
[7.11 2.24 4.  ],15979,8532,2582,4865,7,4,1,2,19,19,26,3
[7.11 2.24 6.79],19188,8454,2741,7993,9,4,1,4,23,23,33,3
[7.11 2.24 7.11],19812,8535,2718,8559,9,4,1,4,23,23,32,3
[7.11 2.24 8.09],20684,8219,2685,9780,9,4,1,4,23,20,29,2
[7.11 2.24 8.92],22200,8486,2728,10986,10,4,1,5,25,25,35,3
[7.11 4.   0.59],14037,8573,4752,712,7,5,1,1,20,16,23,0
[7.11 4.   2.24],15981,8581,4726,2674,6,4,1,1,17,17,24,3
[7.11 4.   4.  ],17946,8527,4669,4750,7,4,1,2,19,19,30,3
[7.11 4.   6.79],21583,8586,4918,8079,10,4,2,4,26,26,43,3
[7.11 4.   7.11],21823,8427,4826,8570,9,4,1,4,23,23,32,3
[7.11 4.   8.09],22993,8478,4856,9659,9,4,1,4,23,21,37,2
[7.11 4.   8.92],24173,8563,4901,10709,12,4,2,6,30,30,49,3
[7.11 6.79 0.59],17164,8456,7979,729,6,4,1,1,17,17,27,3
[7.11 6.79 2.24],19538,8705,8053,2780,7,4,2,1,20,20,34,3
[7.11 6.79 4.  ],21430,8538,8168,4724,9,4,2,3,24,24,42,3
[7.11 6.79 6.79],24846,8503,8215,8128,10,4,2,4,26,26,42,3
[7.11 6.79 7.11],25431,8583,8296,8552,12,6,2,4,32,27,48,2
[7.11 6.79 8.09],26240,8560,8038,9642,11,4,2,5,28,28,47,3
[7.11 6.79 8.92],27397,8584,8100,10713,15,7,2,6,39,33,52,2
[7.11 7.11 0.59],17608,8505,8386,717,7,4,2,1,20,20,38,3
[7.11 7.11 2.24],19844,8622,8542,2680,7,4,2,1,20,17,31,2
[7.11 7.11 4.  ],21914,8470,8600,4844,9,4,4,1,26,24,36,1
[7.11 7.11 6.79],25204,8634,8567,8003,11,5,2,4,29,29,50,3
[7.11 7.11 7.11],25923,8589,8564,8770,10,4,2,4,26,26,45,3
[7.11 7.11 8.09],26976,8518,8599,9859,11,4,2,5,28,28,51,3
[7.11 7.11 8.92],28030,8601,8555,10874,13,6,2,5,34,29,52,2
[7.11 8.09 0.59],19021,8588,9712,721,7,4,2,1,20,17,33,2
[7.11 8.09 2.24],21040,8677,9686,2677,8,5,2,1,23,19,39,2
[7.11 8.09 4.  ],22908,8431,9627,4850,11,6,3,2,31,26,49,2
[7.11 8.09 6.79],26415,8364,9754,8297,10,4,2,4,26,26,46,3
[7.11 8.09 7.11],26667,8447,9563,8657,10,4,2,4,26,26,44,3
[7.11 8.09 8.09],27773,8524,9735,9514,11,5,1,5,28,25,44,2
[7.11 8.09 8.92],28935,8604,9660,10671,12,5,2,5,31,31,52,3
[7.11 8.92 0.59],19845,8334,10765,746,7,4,2,1,20,19,31,1
[7.11 8.92 2.24],21967,8592,10680,2695,7,4,2,1,20,20,39,3
[7.11 8.92 4.  ],23968,8350,10741,4877,10,6,2,2,28,23,41,2
[7.11 8.92 6.79],27554,8527,10847,8180,10,4,2,4,26,26,43,3
[7.11 8.92 7.11],27530,8415,10703,8412,13,5,3,5,34,34,60,3
[7.11 8.92 8.09],29028,8660,10592,9776,11,4,2,5,28,28,50,3
[7.11 8.92 8.92],29670,8458,10577,10635,12,4,2,6,30,30,52,3
[8.09 0.59 0.59],11106,9662,724,720,7,5,1,1,20,17,23,2
[8.09 0.59 2.24],12880,9548,703,2629,6,4,1,1,17,17,24,3
[8.09 0.59 4.  ],15532,9865,683,4984,8,5,1,2,22,22,31,3
[8.09 0.59 6.79],18539,9692,705,8142,10,5,1,4,26,26,37,3
[8.09 0.59 7.11],18919,9709,716,8494,10,5,1,4,26,26,38,3
[8.09 0.59 8.09],20151,9646,709,9796,10,4,1,5,25,23,37,2
[8.09 0.59 8.92],21181,9769,700,10712,11,5,1,5,28,25,39,2
[8.09 2.24 0.59],13098,9691,2687,720,7,5,1,1,20,20,28,3
[8.09 2.24 2.24],15295,9891,2704,2700,7,5,1,1,20,20,29,3
[8.09 2.24 4.  ],17174,9688,2722,4764,8,5,1,2,22,22,31,3
[8.09 2.24 6.79],20676,9780,2723,8173,9,4,1,4,23,23,33,3
[8.09 2.24 7.11],21107,9874,2686,8547,9,4,1,4,23,21,34,2
[8.09 2.24 8.09],22136,9809,2684,9643,11,5,1,5,28,28,40,3
[8.09 2.24 8.92],23052,9705,2696,10651,11,5,1,5,28,28,40,3
[8.09 4.   0.59],15204,9726,4760,718,7,5,1,1,20,20,30,3
[8.09 4.   2.24],17169,9827,4680,2662,7,5,1,1,20,20,33,3
[8.09 4.   4.  ],19380,9862,4754,4764,8,5,1,2,22,22,33,3
[8.09 4.   6.79],22564,9657,4756,8151,10,5,1,4,26,26,39,3
[8.09 4.   7.11],23140,9796,4835,8509,9,4,1,4,23,23,34,3
[8.09 4.   8.09],24315,9824,4808,9683,11,5,2,4,29,29,47,3
[8.09 4.   8.92],25301,9806,4872,10623,12,5,1,6,30,30,46,3
[8.09 6.79 0.59],18672,9710,8234,728,8,4,2,2,22,20,33,1
[8.09 6.79 2.24],20673,9801,8148,2724,10,6,2,2,28,24,39,2
[8.09 6.79 4.  ],22821,9806,8236,4779,9,5,2,2,25,25,41,3
[8.09 6.79 6.79],25896,9778,7963,8155,11,5,2,4,29,29,50,3
[8.09 6.79 7.11],26563,9741,8133,8689,11,5,2,4,29,29,48,3
[8.09 6.79 8.09],27501,9773,8044,9684,10,4,2,4,26,26,44,3
[8.09 6.79 8.92],28761,9761,8288,10712,14,7,2,5,37,31,51,2
[8.09 7.11 0.59],18943,9640,8557,746,8,5,2,1,23,23,40,3
[8.09 7.11 2.24],20820,9705,8446,2669,9,6,2,1,26,21,37,2
[8.09 7.11 4.  ],23053,9679,8550,4824,10,5,2,3,27,27,45,3
[8.09 7.11 6.79],26585,9901,8442,8242,11,5,2,4,29,29,48,3
[8.09 7.11 7.11],26709,9662,8652,8395,11,5,2,4,29,29,49,3
[8.09 7.11 8.09],28150,9833,8563,9754,12,5,2,5,31,31,52,3
[8.09 7.11 8.92],28920,9772,8380,10768,12,5,2,5,31,31,55,3
[8.09 8.09 0.59],20206,9786,9686,734,8,4,2,2,22,21,31,1
[8.09 8.09 2.24],22194,9742,9783,2669,9,5,3,1,26,24,37,1
[8.09 8.09 4.  ],24312,9704,9788,4820,8,5,1,2,22,22,33,1
[8.09 8.09 6.79],27396,9725,9692,7979,9,4,2,3,24,24,44,3
