rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,bin_conf
[2.24 6.79 6.79],18792,2639,8177,7976,8,2,2,4,20,17,36,2
[2.24 6.79 7.11],19245,2700,8013,8532,7,1,2,4,17,17,27,3
[2.24 6.79 8.09],20479,2654,8221,9604,10,2,3,5,25,25,45,3
[2.24 6.79 8.92],21551,2689,8162,10700,8,1,2,5,19,19,33,3
[2.24 7.11 0.59],12051,2726,8622,703,4,1,2,1,11,11,18,3
[2.24 7.11 2.24],13676,2678,8405,2593,9,2,4,3,24,21,31,1
[2.24 7.11 4.  ],16208,2624,8854,4730,6,2,2,2,16,13,27,2
[2.24 7.11 6.79],19404,2698,8556,8150,7,1,2,4,17,17,29,3
[2.24 7.11 7.11],19845,2790,8502,8553,8,1,3,4,20,20,38,3
[2.24 7.11 8.09],20788,2692,8470,9626,8,1,2,5,19,19,33,3
[2.24 7.11 8.92],21843,2673,8635,10535,9,1,2,6,21,21,33,3
[2.24 8.09 0.59],13215,2752,9750,713,4,1,2,1,11,11,20,3
[2.24 8.09 2.24],15142,2714,9787,2641,4,1,2,1,11,11,23,3
[2.24 8.09 4.  ],17189,2672,9662,4855,6,1,2,3,15,13,23,1
[2.24 8.09 6.79],20708,2662,9787,8259,7,2,1,4,17,16,26,2
[2.24 8.09 7.11],20842,2680,9654,8508,8,2,2,4,20,18,31,2
[2.24 8.09 8.09],21984,2686,9559,9739,8,1,2,5,19,19,32,3
[2.24 8.09 8.92],23112,2649,9841,10622,8,1,2,5,19,19,31,3
[2.24 8.92 0.59],14168,2727,10701,740,5,1,3,1,14,14,28,3
[2.24 8.92 2.24],16004,2742,10627,2635,5,1,3,1,14,14,28,3
[2.24 8.92 4.  ],18633,2716,10873,5044,6,1,2,3,15,15,27,3
[2.24 8.92 6.79],21790,2667,10868,8255,9,2,3,4,23,23,45,3
[2.24 8.92 7.11],21893,2678,10704,8511,8,1,3,4,20,20,37,3
[2.24 8.92 8.09],23151,2690,10839,9622,9,1,3,5,22,22,41,3
[2.24 8.92 8.92],24033,2685,10719,10629,10,1,3,6,24,24,43,3
[4.   0.59 0.59],6145,4701,706,738,3,2,0,1,8,8,10,3
[4.   0.59 2.24],8304,4786,729,2789,4,2,1,1,11,11,15,3
[4.   0.59 4.  ],10310,4847,669,4794,5,2,1,2,13,11,16,2
[4.   0.59 6.79],13532,4716,690,8126,7,2,1,4,17,16,20,2
[4.   0.59 7.11],13976,4870,686,8420,7,2,1,4,17,17,22,3
[4.   0.59 8.09],15008,4697,658,9653,8,2,1,5,19,19,25,3
[4.   0.59 8.92],15908,4685,688,10535,8,2,1,5,19,19,25,3
[4.   2.24 0.59],8346,4896,2718,732,4,2,1,1,11,10,13,1
[4.   2.24 2.24],10375,4950,2734,2691,4,2,1,1,11,10,13,1
[4.   2.24 4.  ],12242,4891,2612,4739,6,3,1,2,16,13,18,2
[4.   2.24 6.79],15462,4754,2598,8110,7,2,1,4,17,17,23,3
[4.   2.24 7.11],16280,4902,2798,8580,7,2,1,4,17,17,22,3
[4.   2.24 8.09],17325,4780,2724,9821,8,2,1,5,19,19,26,3
[4.   2.24 8.92],17987,4734,2679,10574,8,2,1,5,19,19,25,3
[4.   4.   0.59],10215,4782,4782,651,5,2,1,2,13,12,16,1
[4.   4.   2.24],12336,4826,4781,2729,5,3,1,1,14,14,22,3
[4 4 4],14232,4663,4779,4790,6,3,1,2,16,13,23,2
[4.   4.   6.79],17744,4857,4821,8066,10,4,2,4,26,22,36,2
[4.   4.   7.11],18234,4665,4932,8637,9,3,1,5,22,22,30,3
[4.   4.   8.09],19329,4797,4816,9716,9,3,1,5,22,19,29,2
[4.   4.   8.92],20244,4797,4689,10758,8,2,1,5,19,19,33,3
[4.   6.79 0.59],13545,4698,8153,694,4,2,1,1,11,11,14,1
[4.   6.79 2.24],15701,4792,8162,2747,5,2,2,1,14,14,26,3
[4.   6.79 4.  ],17901,4933,8250,4718,7,2,2,3,18,18,30,3
[4.   6.79 6.79],21294,4718,8284,8292,7,2,2,3,18,18,34,3
[4.   6.79 7.11],21678,4824,8265,8589,9,3,2,4,23,23,40,3
[4.   6.79 8.09],22631,4789,8171,9671,9,2,2,5,22,22,39,3
[4.   6.79 8.92],23695,4857,8100,10738,10,3,2,5,25,22,42,2
[4.   7.11 0.59],13913,4723,8491,699,6,2,2,2,16,15,25,1
[4.   7.11 2.24],16110,4937,8548,2625,6,2,2,2,16,16,27,3
[4.   7.11 4.  ],18104,4734,8512,4858,6,2,2,2,16,16,26,3
[4.   7.11 6.79],21413,4806,8542,8065,9,3,3,3,24,21,36,1
[4.   7.11 7.11],21854,4803,8578,8473,9,3,2,4,23,20,40,2
[4.   7.11 8.09],23080,4739,8544,9797,9,2,2,5,22,20,37,2
[4.   7.11 8.92],24024,4797,8578,10649,10,2,2,6,24,24,44,3
[4.   8.09 0.59],15264,4917,9606,741,5,2,2,1,14,14,28,1
[4.   8.09 2.24],17181,4767,9689,2725,6,2,2,2,16,16,32,3
[4.   8.09 4.  ],19126,4766,9670,4690,6,2,2,2,16,16,31,3
[4.   8.09 6.79],22240,4766,9364,8110,8,2,2,4,20,20,35,3
[4.   8.09 7.11],23257,4804,9800,8653,12,6,2,4,32,26,42,2
[4.   8.09 8.09],23991,4769,9732,9490,9,2,3,4,23,23,44,3
[4.   8.09 8.92],25176,4905,9694,10577,9,2,2,5,22,22,41,3
[4.   8.92 0.59],16158,4786,10627,745,6,2,2,2,16,15,19,1
[4.   8.92 2.24],18372,4876,10844,2652,7,3,3,1,20,20,39,3
[4.   8.92 4.  ],20170,4775,10616,4779,5,2,2,1,14,13,25,1
[4.   8.92 6.79],23696,4845,10768,8083,8,2,2,4,20,18,34,2
[4.   8.92 7.11],24066,4845,10648,8573,10,3,3,4,26,26,48,3
[4.   8.92 8.09],25214,4853,10631,9730,11,4,2,5,28,24,41,2
[4.   8.92 8.92],26342,4833,10761,10748,11,3,2,6,27,25,45,2
[6.79 0.59 0.59],9543,8112,752,679,5,4,0,1,14,14,20,3
[6.79 0.59 2.24],11689,8177,724,2788,6,4,1,1,17,15,22,2
[6.79 0.59 4.  ],13509,8053,722,4734,7,4,1,2,19,16,25,2
[6.79 0.59 6.79],17064,8119,726,8219,10,4,1,5,25,25,35,3
[6.79 0.59 7.11],17413,8117,701,8595,9,4,1,4,23,23,33,3
[6.79 0.59 8.09],18499,8113,690,9696,9,4,1,4,23,20,33,2
[6.79 0.59 8.92],19612,8179,664,10769,10,4,1,5,25,25,36,3
[6.79 2.24 0.59],11562,8179,2674,709,6,4,1,1,17,17,24,3
[6.79 2.24 2.24],13471,8161,2684,2626,6,4,1,1,17,17,24,3
[6.79 2.24 4.  ],15626,8094,2722,4810,8,4,1,3,21,21,30,3
[6.79 2.24 6.79],19086,8216,2585,8285,9,4,1,4,23,23,32,3
[6.79 2.24 7.11],19250,8066,2673,8511,10,4,1,5,25,25,35,3
[6.79 2.24 8.09],20601,8262,2661,9678,10,4,1,5,25,23,35,2
[6.79 2.24 8.92],21704,8275,2765,10664,10,4,1,5,25,25,35,3
[6.79 4.   0.59],13457,8044,4749,664,7,5,1,1,20,16,23,2
[6.79 4.   2.24],15554,8091,4737,2726,7,4,1,2,19,19,27,3
[6.79 4.   4.  ],17613,8110,4757,4746,7,4,1,2,19,18,25,1
[6.79 4.   6.79],21161,8060,4792,8309,11,5,1,5,28,25,37,2
[6.79 4.   7.11],21452,8139,4887,8426,10,4,1,5,25,25,40,3
[6.79 4.   8.09],22445,8129,4772,9544,10,4,1,5,25,23,31,2
[6.79 4.   8.92],23663,8101,4734,10828,11,4,1,6,27,27,39,3
[6.79 6.79 0.59],17252,8269,8288,695,7,4,2,1,20,20,38,3
[6.79 6.79 2.24],18905,8145,8013,2747,9,6,2,1,26,21,34,2
[6.79 6.79 4.  ],20991,8173,8069,4749,10,5,2,3,27,23,40,2
[6.79 6.79 6.79],24417,8243,8154,8020,11,5,2,4,29,25,44,2
[6.79 6.79 7.11],24821,8088,8304,8429,11,6,2,3,30,23,42,0
[6.79 6.79 8.09],25764,8175,7965,9624,11,5,1,5,28,25,39,2
[6.79 6.79 8.92],26996,8051,8328,10617,12,4,2,6,30,30,48,3
[6.79 7.11 0.59],17464,8228,8519,717,7,4,2,1,20,20,33,3
[6.79 7.11 2.24],19389,8138,8498,2753,6,4,1,1,17,17,29,3
[6.79 7.11 4.  ],21677,8352,8490,4835,9,4,2,3,24,22,38,1
[6.79 7.11 6.79],25003,8121,8617,8265,13,6,3,4,35,29,50,2
[6.79 7.11 7.11],25516,8192,8697,8627,10,4,2,4,26,26,49,3
[6.79 7.11 8.09],26570,8265,8671,9634,11,4,2,5,28,28,48,3
[6.79 7.11 8.92],27448,8235,8529,10684,11,4,2,5,28,28,45,3
[6.79 8.09 0.59],18564,8127,9733,704,7,4,2,1,20,20,33,3
[6.79 8.09 2.24],20573,8258,9645,2670,11,7,3,1,32,25,43,2
[6.79 8.09 4.  ],22480,8095,9595,4790,8,4,2,2,22,22,43,3
[6.79 8.09 6.79],25892,8083,9699,8110,10,4,2,4,26,26,48,3
[6.79 8.09 7.11],26336,8203,9681,8452,8,4,1,3,21,20,32,1
[6.79 8.09 8.09],27546,8195,9652,9699,10,4,2,4,26,26,45,3
[6.79 8.09 8.92],28752,8271,9728,10753,13,5,3,5,34,34,60,3
[6.79 8.92 0.59],19699,8221,10753,725,7,4,2,1,20,17,39,2
[6.79 8.92 2.24],21428,8189,10593,2646,8,4,2,2,22,21,29,1
[6.79 8.92 4.  ],23645,8271,10608,4766,9,5,2,2,25,21,44,2
[6.79 8.92 6.79],27282,8279,10928,8075,10,4,3,3,27,27,49,3
[6.79 8.92 7.11],27430,8175,10696,8559,10,4,2,4,26,26,49,3
[6.79 8.92 8.09],28419,8083,10659,9677,12,4,3,5,31,31,57,3
[6.79 8.92 8.92],30039,8374,10860,10805,13,4,3,6,33,33,61,3
[7.11 0.59 0.59],9927,8503,726,698,7,5,1,1,20,16,26,0
[7.11 0.59 2.24],11949,8534,727,2688,6,4,1,1,17,15,22,2
[7.11 0.59 4.  ],14011,8486,725,4800,7,4,1,2,19,17,27,2
[7.11 0.59 6.79],17266,8458,708,8100,9,5,1,3,24,20,34,2
[7.11 0.59 7.11],17843,8603,697,8543,11,5,2,4,29,24,36,2
[7.11 0.59 8.09],18906,8553,697,9656,9,4,1,4,23,20,33,2
[7.11 0.59 8.92],19874,8338,689,10847,10,4,1,5,25,25,35,3
[7.11 2.24 0.59],11916,8493,2747,676,6,4,1,1,17,15,21,2
[7.11 2.24 2.24],13699,8487,2577,2635,7,4,1,2,19,17,25,2
[7.11 2.24 4.  ],16187,8665,2707,4815,6,3,1,2,16,15,27,0
[7.11 2.24 6.79],19177,8537,2638,8002,9,4,1,4,23,20,31,2
[7.11 2.24 7.11],19991,8734,2694,8563,9,4,1,4,23,23,32,3
[7.11 2.24 8.09],20851,8633,2676,9542,10,4,1,5,25,22,34,2
[7.11 2.24 8.92],22004,8459,2652,10893,10,4,1,5,25,25,36,3
[7.11 4.   0.59],14044,8630,4665,749,7,5,1,1,20,17,27,2
[7.11 4.   2.24],16291,8597,4975,2719,7,4,1,2,19,19,31,3
[7.11 4.   4.  ],18305,8668,4778,4859,9,5,1,3,24,21,30,2
[7.11 4.   6.79],21438,8547,4779,8112,9,4,1,4,23,23,37,3
[7.11 4.   7.11],22007,8609,4851,8547,11,5,1,5,28,28,42,3
[7.11 4.   8.09],23412,8646,4945,9821,11,4,1,6,27,24,39,2
[7.11 4.   8.92],24237,8590,4743,10904,11,4,1,6,27,27,40,3
[7.11 6.79 0.59],17339,8485,8163,691,10,4,3,3,27,20,35,0
[7.11 6.79 2.24],19361,8560,8190,2611,8,4,2,2,22,22,42,3
[7.11 6.79 4.  ],21624,8402,8345,4877,8,4,2,2,22,19,35,2
[7.11 6.79 6.79],25045,8640,8210,8195,11,6,1,4,29,25,45,2
[7.11 6.79 7.11],25149,8581,8194,8374,9,3,2,4,23,21,37,2
[7.11 6.79 8.09],26387,8545,8176,9666,10,4,2,4,26,26,46,3
[7.11 6.79 8.92],27302,8525,8113,10664,11,4,2,5,28,28,45,3
[7.11 7.11 0.59],17652,8466,8501,685,8,5,2,1,23,19,34,2
[7.11 7.11 2.24],19718,8558,8500,2660,6,4,1,1,17,17,31,3
[7.11 7.11 4.  ],21636,8638,8299,4699,9,6,1,2,25,21,34,2
[7.11 7.11 6.79],25327,8619,8503,8205,13,5,4,4,35,32,56,1
[7.11 7.11 7.11],25598,8496,8604,8498,11,5,2,4,29,25,45,2
[7.11 7.11 8.09],26767,8451,8489,9827,11,4,2,5,28,28,50,3
[7.11 7.11 8.92],27740,8669,8535,10536,12,5,2,5,31,31,50,3
[7.11 8.09 0.59],18738,8410,9642,686,8,6,1,1,23,19,29,2
[7.11 8.09 2.24],21002,8674,9653,2675,7,4,2,1,20,20,34,3
[7.11 8.09 4.  ],22898,8604,9667,4627,9,5,2,2,25,25,44,3
[7.11 8.09 6.79],26392,8607,9620,8165,14,8,2,4,38,30,55,2
[7.11 8.09 7.11],27000,8578,9751,8671,10,4,2,4,26,26,44,3
[7.11 8.09 8.09],28087,8567,9672,9848,11,4,2,5,28,28,49,3
[7.11 8.09 8.92],28778,8507,9610,10661,12,4,3,5,31,31,55,3
[7.11 8.92 0.59],20085,8669,10681,735,7,4,2,1,20,20,37,3
[7.11 8.92 2.24],21885,8626,10612,2647,9,5,3,1,26,22,48,2
[7.11 8.92 4.  ],24055,8428,10807,4820,11,5,3,3,30,27,50,1
[7.11 8.92 6.79],27284,8408,10776,8100,12,5,3,4,32,27,54,2
[7.11 8.92 7.11],27808,8609,10650,8549,10,4,2,4,26,22,47,2
[7.11 8.92 8.09],28940,8451,10774,9715,12,4,3,5,31,31,58,3
[7.11 8.92 8.92],30008,8462,10704,10842,14,7,2,5,37,31,55,2
[8.09 0.59 0.59],11002,9561,737,704,5,4,0,1,14,14,21,1
[8.09 0.59 2.24],13060,9646,733,2681,8,5,2,1,23,17,27,0
[8.09 0.59 4.  ],15422,9741,736,4945,8,4,1,3,21,21,29,3
[8.09 0.59 6.79],18412,9531,691,8190,10,5,1,4,26,26,38,3
[8.09 0.59 7.11],19006,9697,790,8519,10,5,1,4,26,26,37,3
[8.09 0.59 8.09],20048,9671,690,9687,10,6,0,4,26,22,38,2
[8.09 0.59 8.92],21310,9820,748,10742,12,5,1,6,30,30,43,3
[8.09 2.24 0.59],13170,9830,2630,710,6,5,0,1,17,16,22,2
[8.09 2.24 2.24],15141,9739,2732,2670,6,4,1,1,17,17,23,3
[8.09 2.24 4.  ],17238,9681,2694,4863,8,5,1,2,22,22,31,3
[8.09 2.24 6.79],20728,9789,2751,8188,8,4,1,3,21,21,31,3
[8.09 2.24 7.11],21039,9801,2729,8509,11,6,1,4,29,29,42,3
[8.09 2.24 8.09],22143,9812,2719,9612,11,5,1,5,28,28,40,3
[8.09 2.24 8.92],23105,9694,2723,10688,11,5,1,5,28,28,41,3
[8.09 4.   0.59],15231,9614,4855,762,7,5,1,1,20,20,30,3
[8.09 4.   2.24],17234,9740,4801,2693,7,5,1,1,20,17,28,2
[8.09 4.   4.  ],19237,9729,4719,4789,8,5,1,2,22,22,32,3
[8.09 4.   6.79],22536,9676,4716,8144,10,5,1,4,26,26,37,3
[8.09 4.   7.11],23320,9956,4845,8519,11,5,1,5,28,28,42,3
[8.09 4.   8.09],24360,9679,4857,9824,11,5,1,5,28,28,42,3
[8.09 4.   8.92],25454,9875,4840,10739,11,5,1,5,28,28,41,3
[8.09 6.79 0.59],18439,9624,8086,729,9,5,2,2,25,23,38,1
[8.09 6.79 2.24],20341,9606,8016,2719,9,5,3,1,26,26,48,3
[8.09 6.79 4.  ],22880,9753,8269,4858,10,6,2,2,28,23,45,2
[8.09 6.79 6.79],25914,9844,7949,8121,11,5,2,4,29,29,48,3
[8.09 6.79 7.11],26583,9714,8365,8504,11,5,1,5,28,26,44,2
[8.09 6.79 8.09],27588,9718,8154,9716,13,5,2,6,33,33,55,3
[8.09 6.79 8.92],28515,9773,8060,10682,12,5,2,5,31,31,53,3
[8.09 7.11 0.59],18852,9569,8567,716,7,4,1,2,19,18,25,1
[8.09 7.11 2.24],20738,9707,8385,2646,8,5,2,1,23,23,43,3
[8.09 7.11 4.  ],23049,9647,8536,4866,9,5,2,2,25,21,37,2
[8.09 7.11 6.79],26021,9550,8418,8053,16,9,3,4,44,35,56,2
[8.09 7.11 7.11],26696,9670,8439,8587,11,5,2,4,29,29,49,3
[8.09 7.11 8.09],27837,9676,8548,9613,12,5,2,5,31,31,51,3
[8.09 7.11 8.92],28645,9644,8514,10487,13,5,3,5,34,34,61,3
[8.09 8.09 0.59],20089,9688,9665,736,8,5,2,1,23,23,40,3
[8.09 8.09 2.24],22008,9745,9641,2622,9,5,2,2,25,24,42,1
[8.09 8.09 4.  ],24481,9799,9837,4845,12,7,2,3,33,27,46,2
[8.09 8.09 6.79],27506,9646,9695,8165,11,5,2,4,29,29,53,3
[8.09 8.09 7.11],27911,9686,9703,8522,11,5,1,5,28,27,46,1
[8.09 8.09 8.09],29096,9845,9631,9620,12,5,2,5,31,27,55,2
[8.09 8.09 8.92],30081,9722,9726,10633,14,5,3,6,36,36,63,3
[8.09 8.92 0.59],21263,9835,10752,676,8,5,2,1,23,23,39,3
[8.09 8.92 2.24],23381,9666,10930,2785,9,5,3,1,26,26,48,3
[8.09 8.92 4.  ],25170,9679,10571,4920,9,5,2,2,25,25,40,1
[8.09 8.92 6.79],28301,9652,10654,7995,13,5,4,4,35,31,56,1
[8.09 8.92 7.11],28936,9753,10528,8655,11,4,3,4,29,29,53,3
[8.09 8.92 8.09],30135,9701,10780,9654,11,5,2,4,29,29,51,3
[8.09 8.92 8.92],31025,9725,10606,10694,15,5,4,6,39,35,68,1
[8.92 0.59 0.59],12018,10620,653,745,7,6,0,1,20,20,30,1
[8.92 0.59 2.24],14002,10665,719,2618,8,5,1,2,22,22,31,3
[8.92 0.59 4.  ],16274,10742,737,4795,8,5,1,2,22,22,32,3
[8.92 0.59 6.79],19513,10647,660,8206,10,5,1,4,26,26,37,3
[8.92 0.59 7.11],19992,10790,702,8500,9,5,1,3,24,24,36,3
[8.92 0.59 8.09],21001,10528,734,9739,11,5,1,5,28,28,40,3
[8.92 0.59 8.92],22439,11008,697,10734,12,5,2,5,31,27,45,2
[8.92 2.24 0.59],14061,10728,2611,722,7,5,1,1,20,20,28,3
[8.92 2.24 2.24],16014,10712,2624,2678,7,5,1,1,20,20,28,3
[8.92 2.24 4.  ],18112,10604,2688,4820,10,6,1,3,27,27,39,3
[8.92 2.24 6.79],21549,10662,2702,8185,11,6,1,4,29,29,42,3
[8.92 2.24 7.11],21840,10679,2677,8484,11,6,1,4,29,26,38,2
[8.92 2.24 8.09],22964,10660,2671,9633,12,6,1,5,31,31,45,3
[8.92 2.24 8.92],24031,10693,2682,10656,11,5,1,5,28,28,40,3
[8.92 4.   0.59],16164,10698,4745,721,7,5,1,1,20,20,29,3
[8.92 4.   2.24],18295,10862,4778,2655,8,6,1,1,23,20,30,2
[8.92 4.   4.  ],20310,10706,4816,4788,7,4,1,2,19,17,30,2
[8.92 4.   6.79],23542,10765,4773,8004,11,5,1,5,28,28,45,3
[8.92 4.   7.11],24058,10552,4821,8685,11,6,1,4,29,27,40,2
[8.92 4.   8.09],25373,10822,4648,9903,11,5,1,5,28,28,41,3
[8.92 4.   8.92],26166,10568,4875,10723,12,5,1,6,30,30,47,3
[8.92 6.79 0.59],19385,10685,8037,663,8,5,2,1,23,22,38,1
[8.92 6.79 2.24],21643,10632,8227,2784,8,5,2,1,23,23,38,3
[8.92 6.79 4.  ],23726,10754,8151,4821,10,5,2,3,27,27,46,3
[8.92 6.79 6.79],26854,10751,7953,8150,11,5,2,4,29,29,49,3
[8.92 6.79 7.11],27419,10716,8157,8546,10,4,2,4,26,23,44,2
[8.92 6.79 8.09],28653,10842,8183,9628,13,7,1,5,34,29,55,2
[8.92 6.79 8.92],29685,10640,8281,10764,14,7,2,5,37,32,55,2
[8.92 7.11 0.59],19748,10557,8472,719,7,5,1,1,20,20,31,1
[8.92 7.11 2.24],21758,10639,8487,2632,8,5,2,1,23,23,43,3
[8.92 7.11 4.  ],24222,10821,8632,4769,9,7,0,2,25,21,32,2
[8.92 7.11 6.79],27150,10614,8400,8136,12,6,2,4,32,32,59,3
[8.92 7.11 7.11],27641,10648,8475,8518,12,5,2,5,31,31,53,3
[8.92 7.11 8.09],28947,10687,8672,9588,11,5,2,4,29,29,51,3
[8.92 7.11 8.92],30293,10893,8710,10690,12,5,2,5,31,27,51,2
[8.92 8.09 0.59],20946,10749,9494,703,8,5,2,1,23,23,45,3
[8.92 8.09 2.24],23078,10651,9760,2667,8,5,2,1,23,23,40,3
[8.92 8.09 4.  ],25250,10633,9828,4789,11,6,3,2,31,26,51,2
[8.92 8.09 6.79],28400,10627,9670,8103,15,8,2,5,40,34,57,2
[8.92 8.09 7.11],29186,10681,9774,8731,11,5,2,4,29,29,50,3
[8.92 8.09 8.09],30173,10744,9571,9858,12,5,2,5,31,31,53,3
[8.92 8.09 8.92],30945,10491,9722,10732,13,5,2,6,33,33,53,3
[8.92 8.92 0.59],22313,10743,10892,678,10,5,2,3,27,26,42,1
[8.92 8.92 2.24],24135,10764,10643,2728,11,7,2,2,31,26,48,2
[8.92 8.92 4.  ],26264,10852,10752,4660,12,8,2,2,34,27,52,2
[8.92 8.92 6.79],29288,10509,10794,7985,16,9,3,4,44,36,62,2
[8.92 8.92 7.11],30165,10803,10738,8624,14,6,3,5,37,37,66,3
[8.92 8.92 8.09],30896,10537,10542,9817,13,5,3,5,34,34,61,3
